End (ISO 8601),End Date,End Time (24 Hour),End Timestamp (Unix),End Timezone (UTC Offset Minutes),Duration (Seconds)
2020-11-14T11:08:00.000-05:00,2020-11-14,11:08:00,1605370080,-300,1500
2020-11-14T11:38:00.000-05:00,2020-11-14,11:38:00,1605371880,-300,1500
2020-11-14T12:11:00.000-05:00,2020-11-14,12:11:00,1605373860,-300,1500
2020-11-14T12:48:00.000-05:00,2020-11-14,12:48:00,1605376080,-300,1500
2020-11-14T13:30:00.000-05:00,2020-11-14,13:30:00,1605378600,-300,1500
2020-11-14T21:21:00.000-05:00,2020-11-14,21:21:00,1605406860,-300,1500
2020-11-15T12:03:00.000-05:00,2020-11-15,12:03:00,1605459780,-300,1500
2020-11-15T12:41:00.000-05:00,2020-11-15,12:41:00,1605462060,-300,1500
2020-11-15T13:15:00.000-05:00,2020-11-15,13:15:00,1605464100,-300,1500
2020-11-15T13:46:00.000-05:00,2020-11-15,13:46:00,1605465960,-300,1500
2020-11-15T14:30:00.000-05:00,2020-11-15,14:30:00,1605468600,-300,1500
2021-04-03T13:22:00.000-04:00,2021-04-03,13:22:00,1617470520,-240,1500
2021-04-03T13:52:00.000-04:00,2021-04-03,13:52:00,1617472320,-240,1500
2021-04-03T14:27:00.000-04:00,2021-04-03,14:27:00,1617474420,-240,1500
2021-04-03T15:00:00.000-04:00,2021-04-03,15:00:00,1617476400,-240,1500
2021-04-03T16:12:00.000-04:00,2021-04-03,16:12:00,1617480720,-240,1500
2021-04-03T17:01:00.000-04:00,2021-04-03,17:01:00,1617483660,-240,1500
2021-04-05T17:32:00.000-04:00,2021-04-05,17:32:00,1617658320,-240,1500
2021-04-05T18:31:00.000-04:00,2021-04-05,18:31:00,1617661860,-240,1500
2021-04-05T19:02:00.000-04:00,2021-04-05,19:02:00,1617663720,-240,1500
2021-04-05T19:54:00.000-04:00,2021-04-05,19:54:00,1617666840,-240,1500
2021-04-06T17:31:00.000-04:00,2021-04-06,17:31:00,1617744660,-240,1500
2021-04-07T16:55:00.000-04:00,2021-04-07,16:55:00,1617828900,-240,1500
2021-04-07T18:46:00.000-04:00,2021-04-07,18:46:00,1617835560,-240,1500
2021-04-08T18:19:00.000-04:00,2021-04-08,18:19:00,1617920340,-240,1500
2021-04-09T18:06:00.000-04:00,2021-04-09,18:06:00,1618005960,-240,1500
2021-04-10T10:35:00.000-04:00,2021-04-10,10:35:00,1618065300,-240,1500
2021-04-10T11:19:00.000-04:00,2021-04-10,11:19:00,1618067940,-240,1500
2021-04-10T14:38:00.000-04:00,2021-04-10,14:38:00,1618079880,-240,1500
2021-04-10T15:17:00.000-04:00,2021-04-10,15:17:00,1618082220,-240,1500
2021-04-10T16:26:00.000-04:00,2021-04-10,16:26:00,1618086360,-240,1500
2021-04-10T20:52:00.000-04:00,2021-04-10,20:52:00,1618102320,-240,1500
2021-04-10T21:24:00.000-04:00,2021-04-10,21:24:00,1618104240,-240,1500
2021-04-10T21:54:00.000-04:00,2021-04-10,21:54:00,1618106040,-240,1500
2021-04-12T17:49:00.000-04:00,2021-04-12,17:49:00,1618264140,-240,1500
